"序号","代码","名称","最新价","涨跌幅","成交额","今开","市盈率(静)","总市值","流通市值","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"148","AXP","美国运通","183.700","0.72%","566303182","183.000","18.333","139795700000","111694253672.1","-1.57%","-3.18%","9.72%","5.59%","4.45%","25.92%","12.89%","信贷服务"
"149","XIACY","小米集团(ADR)","8.490","0.71%","135173.871","8.590","13.433","42394973542.26","42394973542.26","-4.93%","-9.20%","1.92%","-29.54%","-38.30%","-59.30%","-28.89%","-"
"150","BAC","美国银行","39.670","0.71%","1631548340","39.490","11.112","320447574137.21","319452895896.16","-3.01%","-9.28%","-1.64%","-18.41%","-13.45%","1.38%","-10.40%","银行-综合性"
"151","MO","奥驰亚","54.110","0.71%","401571214","53.750","40.380","98085700818.21","98085700818.21","2.66%","0.91%","9.04%","11.22%","16.56%","13.21%","16.15%","烟草"
"152","DOW","陶氏化学","61.680","0.70%","241978860","61.770","7.360","45380886864.24","45291982175.76","-3.90%","-4.67%","1.26%","5.34%","7.20%","0.45%","10.06%","化学品"
"153","WBA","沃尔格林-联合博姿","45.420","0.69%","280099204","45.180","15.501","39232590734.88","33465351034.38","3.56%","-3.61%","-4.26%","-14.90%","-4.29%","-13.38%","-12.04%","医药零售商"
"154","HOWL","Werewolf Therapeutics","5.880","0.68%","7004508","5.420","亏损","162603585.48","47963765.64","30.67%","50.77%","15.29%","-34.59%","-63.82%","-63.25%","-50.63%","生物技术"
"155","BNTX","BioNTech","170.260","0.68%","151784841","167.540","3.850","42021497390.08","14715264991.48","-4.77%","5.69%","25.52%","-22.91%","-34.79%","28.40%","-33.96%","生物技术"
"156","BMY","施贵宝","77.770","0.66%","1734633223","76.820","24.926","165277000524.79","164667280925.07","5.35%","6.91%","13.76%","20.86%","38.80%","25.79%","26.75%","药品制造商-通用"
"157","BJ","BJ批发俱乐部","70.080","0.65%","115501974","70.000","22.679","9481088440.32","9320640000","3.62%","9.30%","14.85%","8.48%","20.06%","57.59%","4.64%","折扣店"
"158","LXU","LSB Industries","25.510","0.63%","43644001","26.480","亏损","2284781772.62","720762218.55","10.10%","9.30%","19.43%","133.61%","181.26%","475.75%","130.86%","化学品"
"159","DHI","霍顿房屋","70.830","0.63%","316344886","70.290","6.207","25099188826.95","24973077641.04","-7.02%","-8.91%","-12.51%","-28.57%","-19.51%","-23.01%","-34.51%","住宅建设"
"160","K","家乐氏","67.560","0.63%","140651373","67.500","15.602","23083554419.88","18861074214.96","2.97%","7.55%","12.88%","2.69%","11.89%","11.93%","5.81%","包装食品"
"161","HPE","慧与科技","16.100","0.63%","144319991","16.020","6.240","20932185414","20684590195.5","-1.17%","-8.21%","-2.72%","-5.43%","8.17%","5.24%","2.85%","通信设备"
"162","KO","可口可乐","63.830","0.61%","809971506","63.480","28.368","276733261249.64","247824105566.96","1.53%","3.74%","11.05%","6.24%","20.17%","23.96%","8.63%","饮料-不含酒精"
"163","F","福特汽车","15.050","0.60%","1137984960","14.940","3.382","60263925657.6","58863778556.1","-9.61%","-8.62%","-6.17%","-38.18%","-2.29%","24.21%","-27.17%","汽车制造商"
"164","GGR","Gogoro","14.100","0.57%","8023313","14.020","亏损","3373173315","2031735030.3","36.89%","41.28%","41.99%","42.14%","42.86%","43.15%","42.71%","汽车零件"
"165","DADA","达达集团","8.860","0.57%","7142204","8.740","亏损","2055025062.68","454466984.12","-11.22%","-3.70%","25.67%","-28.08%","-59.96%","-64.42%","-32.67%","互联网零售"
"166","WMT","沃尔玛","157.410","0.56%","1222465941","156.910","32.322","433157631400.89","229153096492.65","4.24%","9.73%","11.23%","10.16%","11.98%","14.75%","9.21%","折扣店"
"167","SCCO","南方铜业","73.830","0.54%","45853682","73.990","16.817","57077003538.27","6262898934.18","-5.55%","-4.93%","-0.32%","8.29%","16.98%","6.13%","21.45%","铜"
"168","CRWD","CrowdStrike","218.210","0.54%","1484923709","221.500","亏损","50355854730.6","46552593648.58","-4.23%","-1.69%","14.52%","16.09%","-23.53%","4.81%","6.57%","软件-基础设施"
"169","PDD","拼多多","42.600","0.54%","572062074","42.390","50.117","53390102922.6","22500062362.8","-0.12%","-3.71%","32.59%","-29.45%","-56.08%","-67.88%","-26.93%","互联网零售"
"170","CAT","卡特彼勒","217.030","0.52%","531237357","215.790","18.345","116303783708.53","116004166848.57","-1.25%","-2.83%","1.02%","-1.94%","10.65%","-4.78%","5.49%","农重工程机械"
"171","AGNC","美国资本代理公司","12.600","0.48%","86418894","12.570","10.327","6580019779.2","6556456405.8","-4.33%","-4.20%","-2.06%","-16.86%","-19.00%","-20.44%","-13.98%","REIT- 抵押"
"172","HSBC","汇丰控股","34.530","0.47%","79588296","34.240","11.138","139964485280.76","138818134860.36","-0.32%","0.94%","10.96%","3.63%","19.77%","22.04%","17.82%","银行-综合性"
"173","LNG","Cheniere Energy","144.180","0.45%","279112084","143.630","亏损","36679082733.9","34043726090.7","1.47%","-3.43%","11.37%","26.51%","30.08%","96.68%","42.57%","油气中流"
"174","BB","黑莓","6.800","0.44%","37585613","6.790","亏损","3920016393.2","3474096308.8","0.74%","-7.98%","8.97%","-26.09%","-32.67%","-24.44%","-27.27%","软件-基础设施"
"175","BHP","必和必拓","77.670","0.41%","166018450","78.000","17.414","196595321083.65","196066572772.23","-2.06%","3.09%","13.30%","20.94%","40.00%","18.99%","34.57%","其他工业金属和采矿"
"176","PM","菲利普莫里斯","100.070","0.40%","509690944","100.090","17.164","155116713045.11","154731012943.9","3.40%","7.08%","14.13%","-0.02%","5.50%","15.67%","6.76%","烟草"
"177","BTI","英美烟草","42.870","0.40%","120823409","42.660","11.054","98373387093.75","87132049732.53","0.21%","-2.28%","9.47%","7.29%","24.02%","18.91%","16.64%","烟草"
"178","V","Visa","216.980","0.38%","1180804261","214.810","38.539","454967315339.44","365686842237.94","-4.14%","-0.66%","10.30%","0.75%","-5.61%","-1.64%","0.29%","信贷服务"
"179","SPI","阳光动力","2.660","0.38%","1526268","2.690","亏损","70162242.78","47018785.1","-6.34%","-5.67%","-11.92%","-23.12%","-45.60%","-60.71%","-26.32%","太阳能"
"180","BTU","Peabody Energy","27.250","0.37%","188787832","27.560","8.462","3767593856.25","2891285767.5","4.73%","5.01%","18.38%","106.13%","38.61%","628.61%","170.61%","热煤"
"181","FAMI","农米良品","0.138","0.36%","2615422","0.137","6.875","82194802.662","80888552.662","-7.78%","-11.86%","-3.98%","-43.85%","-59.85%","-86.90%","-38.17%","包装食品"
"182","BBAI","BigBear.ai Holdings","11.580","0.35%","62833949","11.780","亏损","1569856908.66","147381288.66","38.52%","53.17%","22.41%","133.47%","16.62%","18.16%","104.59%","信息技术处"
"183","PEP","百事可乐","173.130","0.34%","671959429","172.990","31.535","239481830118","238381467257.61","1.99%","4.77%","12.62%","0.21%","10.98%","25.22%","0.32%","饮料-不含酒精"
"184","GE","通用电气","89.740","0.31%","360187257","89.490","亏损","98653145690.68","96247139024.54","-2.97%","-4.55%","-2.75%","-12.15%","-13.66%","-17.73%","-4.92%","专业工业机械"
"185","AMT","美国电塔","266.410","0.26%","415993394","266.160","47.068","121546905593.07","120838114062.18","3.68%","10.69%","13.44%","2.71%","-0.10%","11.83%","-8.92%","REIT-专业"
"186","NDAQ","纳斯达克","183.420","0.23%","105854655","183.940","26.017","30156469949.88","21092056595.82","0.82%","4.64%","11.25%","-4.78%","-9.33%","17.89%","-12.38%","金融数据与证券交易所"
"187","YSG","逸仙电商","0.752","0.23%","1181849","0.740","亏损","475029623.408","110368853.936","9.81%","1.29%","11.16%","-59.13%","-76.86%","-93.26%","-65.02%","专业零售"
"188","CPNG","Coupang","17.790","0.23%","112122620","18.000","亏损","31233183590.19","16089436092.21","-3.16%","0.51%","2.12%","-24.10%","-35.43%","-61.08%","-39.45%","互联网零售"
"189","EXC","爱克斯龙电力","50.130","0.22%","301179664","50.110","28.810","49134266205.84","48838540462.83","5.18%","10.15%","14.90%","26.61%","43.09%","59.74%","22.73%","公用事业-综合性"
"190","JNJ","强生","182.120","0.20%","1301219820","181.330","23.318","478842316934.96","478735169546.88","2.21%","2.94%","7.54%","7.95%","15.22%","16.78%","7.14%","药品制造商-通用"
"191","AZN","阿斯利康","71.140","0.18%","646345306","70.620","1778.500","220451498515.16","219795416552.32","6.48%","9.23%","17.98%","23.83%","21.97%","46.26%","24.15%","药品制造商-通用"
"192","CDK","CDK Global","54.600","0.18%","212061819","54.540","6.469","6376413880.2","6376413880.2","11.25%","13.02%","14.13%","26.63%","27.70%","2.27%","31.24%","软件 - 应用"
"193","SWAV","ShockWave Medical","214.480","0.17%","87054829","212.700","亏损","7646976192.24","6874167432.72","3.05%","11.27%","36.22%","13.54%","7.96%","55.45%","20.27%","医疗设备"
"194","EXR","Extra Space Storage","213.710","0.16%","95652203","214.750","34.525","28690797451.96","28227307478.16","1.98%","8.17%","9.59%","1.72%","17.63%","57.86%","-5.02%","REIT-工业"
"195","WB","微博","24.900","0.16%","9693973","25.070","13.387","5890390612.8","1687211823.9","-2.81%","-1.89%","16.30%","-29.06%","-49.34%","-50.22%","-19.63%","互联网内容与信息"
"196","EVFM","Evofem Biosciences","0.257","0.16%","786019","0.250","亏损","46739372.031","43267450.104","-13.75%","-31.21%","-32.85%","-39.50%","-63.67%","-84.36%","-31.69%","生物技术"
"197","AMGN","安进","252.020","0.15%","692760244","251.530","24.515","134524446808.12","134245805935.52","3.66%","5.54%","10.12%","9.68%","26.18%","4.21%","12.99%","药品制造商-通用"
"198","W","Wayfair","112.090","0.13%","272266196","110.190","亏损","11751818018.82","8847681459.43","0.88%","-2.34%","-2.06%","-36.32%","-53.74%","-65.33%","-41.00%","互联网零售"
"199","CEA","东方航空","16.490","0.12%","113047","16.550","亏损","6224790328.49","1612241464.91","-3.57%","-4.46%","-7.57%","-18.37%","-17.84%","-28.58%","-10.86%","航空公司"
"200","VENA","Venus Acquisition Corp","10.160","0.10%","84983","10.140","亏损","61468000","38100640.08","0.15%","0.18%","0.44%","0.79%","0.89%","3.78%","0.79%","空壳公司"
"201","SCI","Service Corporation International","69.480","0.09%","55266814","69.350","14.720","11169640721.16","10935709412.4","3.69%","6.70%","16.72%","5.89%","12.25%","36.49%","-1.72%","个人服务"
"202","NTES","网易","93.040","0.08%","107382225","92.680","23.674","62428042281.12","34599390676.48","-2.89%","-0.66%","17.64%","-11.83%","-4.33%","-11.92%","-8.17%","电子游戏与多媒体"
"203","SONY","索尼","98.270","0.07%","59106786","98.170","11.466","121694909796.5","118390843623.94","-4.52%","-7.55%","0.99%","-22.71%","-12.38%","-12.09%","-22.25%","消费类电子"
"204","PFE","辉瑞","55.170","0.02%","1355772910","54.850","14.329","310240024805.07","309272012150.58","6.98%","4.53%","9.75%","-1.87%","35.72%","53.74%","-5.86%","药品制造商-通用"
"205","MATX","Matson","87.070","0.01%","61309430","87.550","4.055","3559316680.65","3222964138.74","-24.65%","-28.32%","-19.60%","-0.38%","5.71%","28.69%","-2.97%","海运"
"206","YNDX","Yandex","18.940","0.00%","0","18.940","亏损","6793841486.88","5978903383.18","-61.30%","-62.85%","-56.00%","-73.67%","-75.98%","-72.12%","-68.69%","互联网内容与信息"
"207","HMHC","霍顿米夫林哈考特","21.030","0.00%","0","0.000","12.901","2686120071.33","2619455055.45","0.14%","0.43%","-0.05%","42.19%","54.18%","174.90%","30.62%","教育及培训服务"
"208","DIS","迪士尼","131.870","0.00%","884712260","132.000","120.981","240086927512.96","239787835803.36","-3.74%","-5.22%","0.09%","-16.43%","-22.95%","-29.65%","-14.86%","娱乐"
"209","DNFGY","东风集团股份(ADR)","37.760","0.00%","0","37.760","3.632","6506893824","6506893824","0.00%","1.37%","-7.50%","-17.14%","-14.53%","-8.89%","-11.55%","-"
"210","CTJHY","中信资源(ADR)","11.960","0.00%","0","11.960","亏损","469892074.6","469892074.6","0.00%","0.00%","0.00%","30.00%","30.00%","52.94%","30.00%","-"
"211","NEXT","NextDecade","6.210","0.00%","7945376","6.200","亏损","766038897","196658876.16","-10.52%","-2.36%","60.88%","125.82%","99.04%","184.86%","117.89%","油气E&P"
"212","SBRCY","俄罗斯联邦储蓄银行(ADR)","0.520","0.00%","0","0.520","0.280","2797262000","2797262000","0.00%","0.00%","0.00%","-96.65%","-97.46%","-96.35%","-96.70%","-"
"213","LAIX","流利说","3.100","0.00%","0","0.000","亏损","11048815.4","2803847.7","-21.32%","-22.69%","-13.41%","-61.84%","-75.37%","-89.56%","-60.56%","软件 - 应用"
"214","DOYU","斗鱼","2.070","0.00%","3116845","2.090","亏损","671528265.3","300945294","-2.36%","-3.72%","41.78%","-21.89%","-41.19%","-79.30%","-21.59%","互联网内容与信息"
"215","FHS","第一高中教育","1.440","0.00%","42414","1.531","3.348","41682575.52","16253555.04","-5.26%","-19.10%","16.13%","-27.64%","-52.00%","-80.17%","-8.28%","教育及培训服务"
"216","CFVI","CF Acquisition Corp VI","11.340","0.00%","4365581","11.350","-","433188000","348138000","-2.16%","-2.91%","-3.16%","-10.92%","16.55%","16.31%","4.71%","空壳公司"
"217","PAFO","PACIFICO ACQUISITION CORP","9.980","0.00%","54943","9.980","-","74800100","45122075","0.10%","0.10%","0.40%","0.91%","1.22%","-16.83%","1.32%","空壳公司"
"218","GFAI","Guardforce AI","1.200","0.00%","12732816","1.230","亏损","37841629.2","21641631.6","-30.64%","7.14%","53.93%","9.09%","-58.62%","-94.67%","11.11%","保安及保护服务"
"219","ATVI","动视暴雪","80.090","-0.02%","252180209","80.050","23.281","62408922179.92","60758136973.49","-0.90%","0.62%","-0.27%","23.58%","4.83%","-17.17%","20.38%","电子游戏与多媒体"
"220","PSA","公共存储公司","408.950","-0.06%","215728193","409.990","41.433","71755286319.6","62430427640.25","3.14%","8.76%","12.36%","11.92%","28.35%","58.90%","9.79%","REIT-工业"
"221","LIN","Linde","317.820","-0.07%","432344027","317.500","43.358","161371381462.14","161122631375.82","-1.52%","-0.29%","13.20%","-6.50%","3.96%","13.10%","-7.89%","特种化学品"
"222","SPOT","Spotify Technology","141.280","-0.08%","203661731","141.380","亏损","27218881745.12","17631094394.56","-8.08%","-3.26%","13.67%","-38.92%","-43.22%","-50.88%","-39.63%","互联网内容与信息"
"223","PINS","Pinterest","23.550","-0.08%","183740905","23.390","51.195","15499312442.1","13324497260.1","-5.08%","-7.61%","2.04%","-31.60%","-56.06%","-71.79%","-35.21%","互联网内容与信息"
"224","CNC","康西哥","88.480","-0.09%","212531294","88.930","38.807","51571972177.6","50676548384","3.47%","3.38%","6.08%","10.16%","38.23%","41.39%","7.38%","医疗保健计划"
"225","MMM","3M","149.810","-0.09%","418802950","151.000","14.803","85267643088.05","85183439830.78","0.08%","-0.43%","6.28%","-15.70%","-16.08%","-21.33%","-14.85%","企业集团"
"226","ABT","雅培","123.250","-0.10%","627896568","123.420","31.281","217941368929.25","217334417648.75","3.94%","3.61%","8.10%","-7.50%","5.88%","2.58%","-12.12%","医疗设备"
"227","NUE","纽柯钢铁","150.760","-0.10%","396951242","151.980","6.509","40521109225.4","40521109225.4","1.00%","-4.03%","11.84%","31.85%","48.18%","93.75%","32.51%","钢铁"
"228","VLO","瓦莱罗能源","103.220","-0.11%","341648782","104.020","45.471","42248320688.6","42006842453.16","1.93%","6.14%","12.60%","23.74%","35.33%","50.27%","39.00%","油气炼制与营销"
"229","PLD","安博","168.650","-0.11%","309955503","168.200","42.804","124831652643.45","124388604371.25","1.72%","7.20%","14.67%","10.62%","21.75%","56.72%","0.69%","REIT-工业"
"230","SMG","The Scotts Miracle","116.810","-0.12%","48758123","117.500","13.036","6492753723.66","4706044784.3","-8.28%","-6.84%","1.53%","-27.69%","-20.52%","-50.79%","-27.09%","农业投入"
"231","DHR","丹纳赫","299.290","-0.12%","728820940","297.670","34.760","214260183124.55","189733363434.49","2.61%","4.09%","14.11%","-2.23%","-1.46%","26.51%","-8.95%","诊断与研究"
"232","EL","雅诗兰黛","266.640","-0.14%","289169977","267.640","34.228","95634840892.8","59777907478.08","-2.83%","-3.00%","0.91%","-22.68%","-15.92%","-11.77%","-27.83%","家庭及个人产品"
"233","SQM","智利矿业化工","85.520","-0.15%","87966848","86.180","41.717","24427745340.16","7419790030","-3.64%","0.93%","14.26%","53.73%","59.18%","65.64%","69.58%","化学品"
"234","NXE","NexGen Energy","6.190","-0.16%","14357720","6.210","亏损","2967010812.27","2749801756.23","9.95%","7.09%","10.93%","27.63%","-1.12%","65.07%","41.65%","铀"
"235","CL","高露洁","80.250","-0.21%","515747075","80.430","31.470","67457625726.75","63279236136.75","5.01%","7.31%","8.78%","-2.63%","7.83%","3.37%","-5.45%","家庭及个人产品"
"236","TROW","普信集团","146.150","-0.24%","163957311","146.330","11.139","33294424046.35","32182704256.75","-4.39%","-1.86%","8.16%","-18.46%","-25.91%","-12.99%","-25.02%","资产管理"
"237","REDU","瑞思教育","0.800","-0.25%","58166","0.800","亏损","47399932","12930162.4","-6.47%","-4.37%","1.73%","67.01%","13.07%","-76.40%","61.68%","教育及培训服务"
"238","FB","Meta Platforms","222.330","-0.28%","4099334905","222.380","16.145","605169355966.8001","531904185362.28","-1.12%","0.23%","18.51%","-33.29%","-33.70%","-26.58%","-33.90%","互联网内容与信息"
"239","VIVO","美鼎生物","27.790","-0.29%","16050616","27.960","17.154","1210015839.48","1079527422.05","4.40%","7.42%","10.45%","34.32%","55.60%","16.08%","36.23%","诊断与研究"
"240","CGC","Canopy Growth","6.700","-0.30%","29422707","6.790","亏损","2640945137.2","1687116929.9","-9.09%","-22.90%","10.20%","-24.89%","-49.24%","-75.89%","-23.25%","药品制造商-专业和非专利"
"241","TUFN","Tufin软件科技","12.940","-0.31%","17368004","12.940","亏损","490697985.86","401513810.72","45.72%","49.77%","40.81%","39.44%","34.93%","26.86%","22.65%","软件-基础设施"
"242","EXPR","Express","3.150","-0.32%","4122118","3.260","亏损","211291091.55","205635739.05","-6.53%","-11.02%","-14.86%","0.64%","-26.23%","-9.74%","2.27%","服装零售"
"243","UEC","Uranium Energy","5.500","-0.36%","103537161","5.550","亏损","1556583468","1527132178","17.52%","12.70%","10.89%","52.35%","57.59%","90.97%","64.18%","铀"
"244","AEP","美国电力","102.990","-0.37%","225147207","103.580","20.764","51928795424.85","51085843490.79","1.46%","6.35%","7.80%","15.06%","26.36%","22.47%","16.77%","公用事业-受管制的电力"
"245","ALB","美国雅宝","211.000","-0.40%","155440465","212.660","199.056","24710715134","24517468041","-6.19%","-3.02%","14.44%","-12.29%","-10.61%","39.03%","-9.55%","特种化学品"
"246","LX","乐信","2.450","-0.41%","3652469","2.460","1.223","448161448","205007689.6","-9.59%","-13.12%","11.87%","-34.67%","-56.01%","-73.37%","-36.53%","信贷服务"
"247","NU","Nu Holdings","7.280","-0.41%","56702582","7.270","亏损","33761319177.04","2256553047.84","-9.68%","-8.43%","11.31%","-19.11%","-19.11%","-19.11%","-22.39%","银行-综合性"
"248","MAR","万豪酒店","163.860","-0.49%","249808165","163.610","49.059","53623866002.16","36377991316.68","-5.65%","-4.47%","1.37%","-0.61%","2.92%","9.54%","-0.84%","住宿"
"249","TCEHY","腾讯控股(ADR)","46.730","-0.51%","140823922.318","46.590","12.609","448828250826.72","448828250826.72","-4.90%","2.30%","4.40%","-23.16%","-24.97%","-39.26%","-17.55%","-"
"250","SY","新氧","1.870","-0.53%","482351","1.880","亏损","197135543.99","50581981.56","-10.95%","-11.37%","20.65%","-42.81%","-56.00%","-79.54%","-41.38%","卫生信息服务"
"251","TMO","赛默飞世尔","608.860","-0.55%","996038426","610.000","31.287","238331847272.54","237670400643.2","2.79%","6.02%","14.98%","-2.56%","3.64%","27.62%","-8.70%","诊断与研究"
"252","LVMUY","Louis Vuitton MH Unsponsored ADR","136.350","-0.55%","29304187.784","135.150","61.391","344118315863.25","185257277874","-4.80%","-1.32%","6.58%","-15.85%","-9.30%","-5.95%","-17.61%","-"
"253","RTX","Raytheon Technologies","100.400","-0.57%","485876312","101.980","39.218","149830031094.8","135919973940.4","0.23%","-1.98%","3.59%","10.86%","11.84%","31.83%","17.31%","航天军工"
"254","GOTU","高途","1.730","-0.57%","3254112","1.720","亏损","444620885.16","227407264.78","-1.14%","-14.36%","12.34%","-5.46%","-46.60%","-93.11%","-10.82%","教育及培训服务"
"255","Y","Alleghany保险","848.000","-0.58%","152280984","852.950","11.358","11473055008","11076324144","-0.80%","-1.40%","32.81%","25.25%","29.99%","26.95%","27.02%","保险-财产和意外伤害"
"256","BZ","BOSS直聘","24.110","-0.58%","26725017","24.290","亏损","9860479398.42","4023365773.45","-6.73%","-7.98%","35.37%","-21.36%","-29.21%","26.89%","-30.88%","人员配置和就业服务"
"257","BX","黑石","114.970","-0.58%","312913210","115.610","14.141","83707900833.25","83482978583.93","-10.27%","-7.13%","-0.93%","-5.00%","-5.38%","52.49%","-10.17%","资产管理"
"258","YMM","满帮","6.520","-0.61%","23115725","6.620","亏损","7079713977.04","3812933392.2","-9.07%","-11.89%","25.87%","-31.73%","-54.66%","-65.68%","-22.10%","软件 - 应用"
"259","DELL","戴尔科技","47.390","-0.63%","176396530","47.440","6.750","36035277759.11","35676805913.84","-2.89%","-13.51%","-8.88%","-20.95%","-13.78%","1.06%","-15.63%","计算机硬件"
"260","IBM","IBM Corp","127.730","-0.64%","402270343","128.010","20.114","114548308705.5","113122471999.42","-1.86%","-2.76%","3.04%","-3.23%","-3.64%","5.76%","-3.28%","信息技术处"
"261","CSCO","思科","54.280","-0.64%","988474799","54.840","21.712","225488239040","225175136747.32","-1.81%","-0.58%","-0.07%","-12.02%","-0.39%","8.49%","-13.25%","通信设备"
"262","GD","通用动力","242.040","-0.64%","262780456","244.920","20.955","67320149262.48","59434008033.48","0.33%","-0.43%","4.66%","15.46%","18.40%","35.02%","17.38%","航天军工"
"263","X","美国钢铁","35.950","-0.66%","245558503","36.540","2.415","9380456436.1","9308509665.15","-4.97%","-6.50%","7.83%","40.20%","65.22%","57.98%","51.33%","钢铁"
"264","FR","第一工业地产","62.810","-0.66%","27293374","63.170","30.052","8277175413.32","8226755627.97","-0.99%","4.81%","9.31%","1.57%","11.01%","36.12%","-4.67%","REIT-工业"
"265","ISRG","直觉外科公司","289.860","-0.67%","278695397","290.040","62.201","103695684825.66","101276948635.38","-5.13%","1.04%","5.91%","-10.30%","-12.77%","10.66%","-19.33%","医疗器械及用品"
"266","FTNT","飞塔信息","335.830","-0.68%","244262363","335.120","92.515","54006651230.18","45889789238.7","-0.94%","0.93%","20.31%","4.69%","2.78%","68.49%","-6.56%","软件-基础设施"
"267","UBER","优步","32.050","-0.68%","578795035","31.920","亏损","62656529311.65","62068750323.75","-10.92%","-5.90%","4.19%","-25.53%","-31.91%","-45.89%","-23.56%","软件 - 应用"
"268","BIDU","百度","134.760","-0.70%","345256613","135.400","30.627","46566387131.88","36944995465.68","-4.41%","-8.04%","13.32%","-15.44%","-21.21%","-37.69%","-9.43%","互联网内容与信息"
"269","RIO","力拓","80.280","-0.71%","223227034","81.260","6.199","130616450385.48","114254348365.08","-2.90%","0.96%","10.40%","12.47%","21.91%","11.99%","27.81%","其他工业金属和采矿"
"270","BABA","阿里巴巴","103.530","-0.71%","2179305167","104.480","12.404","278236875000","195503611073.19","-6.05%","-8.37%","19.40%","-24.66%","-37.94%","-56.72%","-12.85%","互联网零售"
"271","ORCL","甲骨文","80.940","-0.74%","502111896","81.710","17.789","215960627580","123211311606","-0.92%","-0.58%","4.42%","-7.99%","-15.49%","6.93%","-6.48%","软件-基础设施"
"272","CPOP","普普文化","1.330","-0.75%","295498","1.460","7.514","31986500","14197868.37","-8.90%","-19.88%","3.10%","-35.12%","-53.15%","-77.83%","-63.36%","广告公司"
"273","BHKLY","中银香港(ADR)","76.410","-0.80%","177106.129","77.508","11.822","40393306983.33","40393306983.33","0.16%","3.44%","8.46%","5.64%","17.05%","12.89%","15.27%","-"
"274","ACN","埃森哲","338.920","-0.83%","739175188","342.430","37.000","214842937881.16","214116121229.8","-0.50%","3.42%","8.77%","-10.15%","-0.98%","20.16%","-18.03%","信息技术处"
"275","POOL","Pool Corp","422.090","-0.84%","129454287","425.050","26.430","16936619569.08","16393024209.14","-0.69%","-2.12%","-4.53%","-17.54%","-8.02%","15.59%","-25.29%","休闲"
"276","LMT","洛克希德马丁","461.520","-0.86%","794546927","467.720","20.277","123010817370.48","103773997797.12","3.48%","1.73%","5.12%","28.62%","28.37%","22.25%","30.75%","航天军工"
"277","OSTK","Overstock.com","40.450","-0.88%","48708911","40.390","4.987","1928913181.1","1721890121.55","-5.95%","-13.62%","-9.67%","-24.76%","-49.55%","-47.73%","-31.45%","互联网零售"
"278","UPS","UPS快递","190.970","-0.90%","1035234111","188.730","13.008","166354400310.93","134461977000","-7.58%","-11.32%","-6.34%","-8.93%","-0.04%","10.81%","-10.26%","综合货运物流"
"279","MOBQ","Mobiquity Technologies","2.190","-0.90%","4216058","1.970","亏损","14368044.69","7386175.77","41.29%","56.43%","34.36%","-6.81%","-72.59%","-69.79%","2.82%","广告公司"
"280","CCJ","Cameco","30.310","-0.92%","218061103","30.550","亏损","12072147470.6","12028684506.72","4.41%","5.39%","11.80%","27.14%","14.82%","83.53%","38.97%","铀"
"281","CHWY","Chewy","43.190","-0.92%","140164313","43.030","亏损","18160624879.11","3717442380.89","5.52%","-5.62%","10.07%","-11.10%","-34.47%","-49.52%","-26.76%","互联网零售"
"282","NKE","耐克","128.150","-0.95%","627897275","129.440","35.997","201678301152.35","162504833502.55","-4.02%","-4.15%","4.50%","-15.61%","-19.29%","-2.35%","-22.94%","鞋类及配件"
"283","JD","京东","56.540","-0.98%","594217204","56.750","亏损","88169384484.72","65879478765.1","-4.32%","-5.64%","17.82%","-25.99%","-31.40%","-27.62%","-19.31%","互联网零售"
"284","API","声网","8.920","-1.00%","3476197","9.120","亏损","1033566108.8","569605465.8","-11.51%","-13.98%","7.99%","-41.93%","-67.05%","-84.03%","-44.97%","软件 - 应用"
"285","TUYA","涂鸦智能","2.940","-1.01%","5105376","2.950","亏损","1679464886.4","579843125.82","-6.67%","-9.26%","19.51%","-49.22%","-63.97%","-83.45%","-52.96%","软件-基础设施"
"286","AVAV","AeroVironment","103.090","-1.02%","43692320","105.000","107.385","2568418588.97","2410469142.38","9.34%","3.80%","36.11%","67.52%","13.52%","-6.56%","66.19%","航天军工"
"287","NVO","诺和诺德","120.560","-1.03%","155615240","120.000","38.019","274490969541.36","131679330660.24","6.78%","13.19%","20.20%","20.81%","17.68%","73.47%","8.68%","生物技术"
"288","UAL","联合大陆航空","41.960","-1.04%","384725026","42.270","亏损","13586921453.32","13051493432.88","-8.34%","-2.83%","20.33%","-9.84%","-11.05%","-26.28%","-4.16%","航空公司"
"289","SOPA","Society Pass","2.860","-1.04%","2606652","2.930","亏损","67340559","8937500","-12.54%","-17.10%","29.41%","-63.00%","-68.22%","-68.22%","-72.53%","软件 - 应用"
"290","DAL","达美航空","36.740","-1.05%","318063645","36.980","83.500","23511019382.4","23329900000","-6.54%","-3.09%","14.56%","-9.53%","-10.41%","-23.73%","-5.99%","航空公司"
"291","PLTR","Palantir Technologies","12.700","-1.09%","319608564","12.700","亏损","25782502905.3","20584150741.7","-8.17%","-2.08%","11.50%","-24.04%","-47.65%","-46.41%","-30.26%","软件-基础设施"
"292","SOS","SOS Ltd","0.478","-1.10%","2558095","0.480","5.313","134955582.648","129259766.836","-9.53%","-37.76%","-21.77%","-43.84%","-78.36%","-90.04%","-41.84%","软件-基础设施"
"293","FDX","联邦快递","201.520","-1.10%","468536247","202.090","10.360","52229596708.08","49325085925.28","-8.92%","-11.05%","-5.47%","-21.08%","-11.03%","-29.15%","-21.82%","综合货运物流"
